Game Name,GoogleTrends
Buddy Simulator 1984,0.01
The Planet Crafter,0.15
Hydroneer,0.36
Production Line,0.38
Wartales,0
Stacklands,0.18
Bonding Ambivalence,0
Watch Your Plastic Duck,0
Dungeons of Edera,0.03
Shipped,0
Avorion,0.47
GROSS,0
Freedom Planet 2,0
Punch A Bunch,0
EVERSPACE 2,0
Lost Potato,0
Big Ambitions,0
Mortal Glory,0
Please Fix The Road,0
Barotrauma,0.85
Noobs Want to Live,0
Cygnus,0
Contraband Police,0.93
Pawnbarian,0
Supraland,0
pureya,0
West Hunt,0
PostCollapse,0
Ravenous Devils,0.14
EVERSPACE,0
Majotori,0
Protolife,0.01
City Climber,0.01
Highway Blossoms,0
Son of a Witch,0
LOST EMBER,0.15
A Little Golf Journey,0
Nebula,3.225806452
Project Heartbeat,0.01
Eastshade,0
Tinyfolks,0.02
Tilecraft,0
Bloody Rally Show,0
The Wreck,1.388888889
Larcin Lazer,0
The Companion,0.6
Cthulhu Saves Christmas,0
Cat Herder,0.01
